visits,interlibrary_relation_code,fscs_definition_code,overdue_policy,beac_code,locale_code,population_lsa,county_population,print_volumes,ebook_volumes,num_lib_branches,num_bookmobiles
13269,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,3204,662895,12958,100284,0,1
17454,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,58102,72569,79081,58856,0,0
3600,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,2029,72569,8900,58856,0,0
2712,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Rural,910,72569,39256,45354,0,0
18845,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,5604,72569,56712,58856,0,0
35500,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,8542,36558,41635,73636,0,0
19090,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,5261,36558,67724,73636,0,0
6318,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,1452,36558,29441,73636,0,0
102449,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,City,65286,103241,81763,45354,2,0
50205,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,10154,103241,44837,65063,0,0
24837,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,11987,18684,28362,58856,0,0
4824,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,7009,18684,11054,0,0,0
16328,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,8498,100756,49294,58864,0,0
46993,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,10161,100756,58923,66928,0,0
31500,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,8713,100756,36113,9527,0,0
11620,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Southeast,Town,22522,100756,55040,14701,0,0
278,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,98523,233000,23724,58856,2,0
52043,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,33676,233000,50485,61650,0,0
31362,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,17414,233000,44442,58856,0,0
13338,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Town,4263,233000,39841,58856,0,0
17841,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,21560,233000,31109,58856,0,0
3201,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,1997,233000,9185,58856,0,0
26713,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,7255,233000,24398,58856,0,0
151414,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,24688,233000,61612,880000,0,0
1500,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,1873,233000,8743,58856,0,0
81662,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Suburb,53685,233000,67322,62106,1,0
6104,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,2123,18688,17043,0,0,0
6545,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,998,18688,21250,0,0,0
5105,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,1612,18688,15333,0,0,0
8791,Headquarters or Member of Federation or Cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Southeast,Rural,9304,95552,14715,58856,0,0
