Epoch 317/5000, Train Loss: 9846532096.0, Val Loss: 10408524800.0
Epoch 318/5000, Train Loss: 9843550208.0, Val Loss: 10416378880.0
Epoch 319/5000, Train Loss: 9837433856.0, Val Loss: 10436327424.0
Epoch 320/5000, Train Loss: 9831472128.0, Val Loss: 10425631744.0
Epoch 321/5000, Train Loss: 9827467264.0, Val Loss: 10461771776.0
Epoch 322/5000, Train Loss: 9823088640.0, Val Loss: 10428000256.0
Epoch 323/5000, Train Loss: 9818147840.0, Val Loss: 10463028224.0
Epoch 324/5000, Train Loss: 9811795968.0, Val Loss: 10440351744.0
Epoch 325/5000, Train Loss: 9808975872.0, Val Loss: 10415836160.0
Epoch 326/5000, Train Loss: 9803251712.0, Val Loss: 10382998528.0
Epoch 327/5000, Train Loss: 9802859520.0, Val Loss: 10370911232.0
Epoch 328/5000, Train Loss: 9799517184.0, Val Loss: 10377056256.0
Epoch 329/5000, Train Loss: 9793424384.0, Val Loss: 10381246464.0
Epoch 330/5000, Train Loss: 9788320768.0, Val Loss: 10401366016.0
Epoch 331/5000, Train Loss: 9784179712.0, Val Loss: 10412455936.0
Epoch 332/5000, Train Loss: 9780576256.0, Val Loss: 10430963712.0
Epoch 333/5000, Train Loss: 9779586048.0, Val Loss: 10405942272.0
Epoch 334/5000, Train Loss: 9771763712.0, Val Loss: 10402794496.0
Epoch 335/5000, Train Loss: 9768388608.0, Val Loss: 10327779328.0
Epoch 336/5000, Train Loss: 9770382336.0, Val Loss: 10345617408.0
Epoch 337/5000, Train Loss: 9771123712.0, Val Loss: 10304166912.0
Epoch 338/5000, Train Loss: 9772036096.0, Val Loss: 10393998336.0
Epoch 339/5000, Train Loss: 9772381184.0, Val Loss: 10352249856.0
Epoch 340/5000, Train Loss: 9774326784.0, Val Loss: 10443342848.0
Epoch 341/5000, Train Loss: 9765498880.0, Val Loss: 10378294272.0
Epoch 342/5000, Train Loss: 9754492928.0, Val Loss: 10359383040.0
Epoch 343/5000, Train Loss: 9744601088.0, Val Loss: 10329662464.0
Epoch 344/5000, Train Loss: 9742571520.0, Val Loss: 10279279616.0
Epoch 345/5000, Train Loss: 9745896448.0, Val Loss: 10355158016.0
Epoch 346/5000, Train Loss: 9744739328.0, Val Loss: 10310340608.0
Epoch 347/5000, Train Loss: 9739346944.0, Val Loss: 10373250048.0
Epoch 348/5000, Train Loss: 9725959168.0, Val Loss: 10354172928.0
Epoch 349/5000, Train Loss: 9720837120.0, Val Loss: 10333248512.0
Epoch 350/5000, Train Loss: 9711506432.0, Val Loss: 10395160576.0
Epoch 351/5000, Train Loss: 9720870912.0, Val Loss: 10354415616.0
Epoch 352/5000, Train Loss: 9726857216.0, Val Loss: 10446289920.0
Epoch 353/5000, Train Loss: 9726546944.0, Val Loss: 10334500864.0
Epoch 354/5000, Train Loss: 9705319424.0, Val Loss: 10336951296.0
Epoch 355/5000, Train Loss: 9691754496.0, Val Loss: 10364690432.0
Epoch 356/5000, Train Loss: 9696789504.0, Val Loss: 10311615488.0
Epoch 357/5000, Train Loss: 9706597376.0, Val Loss: 10368236544.0
Epoch 358/5000, Train Loss: 9700497408.0, Val Loss: 10342049792.0
Epoch 359/5000, Train Loss: 9684246528.0, Val Loss: 10389311488.0
Epoch 360/5000, Train Loss: 9677558784.0, Val Loss: 10397804544.0
Epoch 361/5000, Train Loss: 9673388032.0, Val Loss: 10350108672.0
